id,longitude,latitude,start_date,end_date,label,coverage
1,-55.0527448204583,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
2,-55.0523232802187,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
3,-55.0519018192194,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
4,-55.0514804374575,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
5,-55.0510591349301,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
6,-55.0506379116342,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
7,-55.0502167675669,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
8,-55.0497957027253,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
9,-55.0493747171064,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
10,-55.0489538107073,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
11,-55.0506157866405,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
12,-55.0501942627029,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
13,-55.0497728180026,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
14,-55.0493514525367,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
15,-55.0489301663021,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
16,-55.0485089592961,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
17,-55.0480878315155,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
18,-55.0476667829576,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
19,-55.0472458136193,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
20,-55.0468249234978,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
21,-55.0484867528227,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
